id,source,probA,probB,probC,probD,probE,answer,time,error,sources,ids,similarity,confident,add_ids
11,MEDQA,0.010684376582503319,0.007343257311731577,0.07894746214151382,0.8487651348114014,0.054259736090898514,3,0.5422015190124512,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163961772, 468502519163752132, 468502519163868110, 468502519163698349, 468502519163899266]","[0.7680715918540955, 0.7713509798049927, 0.7831425666809082, 0.7700682878494263, 0.7865837812423706]",1,"[-1, -1, -1, -1, -1]"
12,MEDQA,0.0024504053872078657,0.9885640144348145,0.005187507718801498,0.0010214808862656355,0.0027766728308051825,1,0.32370877265930176,False,"['STAT', 'STAT', 'STAT', 'TEXT', 'TEXT']","[468502519162931561, 468502519162458818, 468502519162700923, 468502519162384745, 468502519162333127]","[0.7705387473106384, 0.7948616147041321, 0.790822446346283, 0.778236448764801, 0.7716038823127747]",1,"[-1, -1, -1, -1, -1]"
13,MEDQA,0.3686189651489258,0.09320147335529327,0.11967305839061737,0.09320147335529327,0.32530510425567627,4,1.9513256549835205,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163451184, 468502519163420791, 468502519163361968, 468502519163530825, 468502519163960555]","[0.7683357000350952, 0.7615159153938293, 0.7745478749275208, 0.7618279457092285, 0.7712498903274536]",5,"[468502519163604655, 468502519163922846, 468502519163451184, 468502519163420791, 468502519163430325, 468502519163451184, 468502519163214728, 468502519163420791, 468502519163247338, 468502519163890937, 468502519163430325, 468502519163963738, 468502519163365338, 468502519163315075, 468502519163941974, 468502519163066013, 468502519163210508, 468502519163374151, 468502519163315911, 468502519163740929, 468502519163606153, 468502519163874310, 468502519163247338, 468502519163941974, 468502519163315911]"
14,MEDQA,0.2765055000782013,0.05444715917110443,0.07922014594078064,0.3133217692375183,0.2765055000782013,3,1.7698431015014648,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163368420, 468502519163072601, 468502519163386836, 468502519163104621, 468502519163019769]","[0.760844349861145, 0.7584470510482788, 0.7570010423660278, 0.7571775317192078, 0.764912486076355]",5,"[468502519163618689, 468502519163949427, 468502519163551833, 468502519163797824, 468502519163809895, 468502519163553915, 468502519163543862, 468502519163949149, 468502519163547409, 468502519163551462, 468502519163863426, 468502519163949427, 468502519163592470, 468502519163596085, 468502519163884529, 468502519163665468, 468502519163809903, 468502519162340978, 468502519163831878, 468502519163798894, 468502519163746140, 468502519163993653, 468502519163799720, 468502519163085269, 468502519163948434]"
15,MEDQA,0.24312523007392883,0.31217896938323975,0.13013555109500885,0.1474629044532776,0.16709737479686737,1,1.2072124481201172,False,"['TEXT', 'STAT', 'PBMD', 'PBMD', 'PBMD']","[468502519162349900, 468502519162894875, 468502519163967599, 468502519163705601, 468502519163114833]","[0.7962104678153992, 0.7814958095550537, 0.781140148639679, 0.7827980518341064, 0.7807445526123047]",5,"[468502519162467173, 468502519162349900, 468502519163194713, 468502519162847320, 468502519162349780, 468502519163315424, 468502519163628925, 468502519163526469, 468502519163872477, 468502519162415080, 468502519162415084, 468502519163194713, 468502519163217923, 468502519163173518, 468502519163201823, 468502519163155153, 468502519162868066, 468502519163279594, 468502519163437921, 468502519163436990, 468502519162424976, 468502519162982226, 468502519163572120, 468502519162804239, 468502519162437173]"
16,MEDQA,0.0882474035024643,0.003019660245627165,0.004978578072041273,0.7388864755630493,0.16486786305904388,4,0.5619120597839355,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163910794, 468502519163746159, 468502519163680080, 468502519163728035, 468502519163722648]","[0.8042705059051514, 0.8214365839958191, 0.8033431172370911, 0.8003659248352051, 0.7981019020080566]",1,"[-1, -1, -1, -1, -1]"
17,MEDQA,0.7391642332077026,0.011947477236390114,0.0882805809378624,0.047253187745809555,0.11335451155900955,4,0.8590095043182373,False,"['STAT', 'STAT', 'STAT', 'STAT', 'PBMD']","[468502519162720116, 468502519162720120, 468502519162720136, 468502519162720123, 468502519163639053]","[0.7869439125061035, 0.7831598520278931, 0.7890222668647766, 0.8044654130935669, 0.7982204556465149]",3,"[468502519162308538, 468502519163135240, 468502519163896550, 468502519163416572, 468502519163946582, 468502519163135240, 468502519163721619, 468502519163896550, 468502519163629810, 468502519163624807, 468502519163135240, 468502519162308538, 468502519163360188, 468502519163721619, 468502519163946582]"
18,MEDQA,0.7006675004959106,0.07384981215000153,0.1771564930677414,0.02115832455456257,0.027167826890945435,1,0.5492763519287109,False,"['TEXT', 'PBMD', 'STAT', 'PBMD', 'PBMD']","[468502519162412554, 468502519163626738, 468502519162982237, 468502519163864178, 468502519163869850]","[0.779165506362915, 0.772542417049408, 0.7629145979881287, 0.7625788450241089, 0.7550496459007263]",1,"[-1, -1, -1, -1, -1]"
19,MEDQA,0.048182085156440735,0.017725197598338127,0.8540478944778442,0.042520537972450256,0.03752424567937851,4,0.47308993339538574,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'TEXT']","[468502519163213387, 468502519163792318, 468502519163874092, 468502519163814092, 468502519162367853]","[0.7771685719490051, 0.7909669876098633, 0.7860812544822693, 0.7914714217185974, 0.7753946781158447]",1,"[-1, -1, -1, -1, -1]"
20,MEDQA,0.33743220567703247,0.09667594730854034,0.18061445653438568,0.18061445653438568,0.2046629786491394,2,1.8778176307678223,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'STAT']","[468502519163719568, 468502519163773411, 468502519163682713, 468502519163862571, 468502519162455449]","[0.7910431623458862, 0.7781832218170166, 0.7785245180130005, 0.7968013882637024, 0.779608964920044]",5,"[468502519163545014, 468502519163074825, 468502519163084625, 468502519163509640, 468502519163094234, 468502519163792973, 468502519163374839, 468502519163541078, 468502519163214697, 468502519163802846, 468502519163717066, 468502519162973726, 468502519163878016, 468502519163609531, 468502519163697483, 468502519163792973, 468502519163610318, 468502519163610305, 468502519163610307, 468502519163375502, 468502519163717066, 468502519162973726, 468502519163697483, 468502519163609531, 468502519163814192]"
21,MEDQA,0.4855622947216034,0.03104095719754696,0.08437807857990265,0.13911592960357666,0.2599027752876282,0,1.5913820266723633,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163412025, 468502519163726626, 468502519163625781, 468502519163970065, 468502519163772036]","[0.7673711180686951, 0.7677319049835205, 0.8019141554832458, 0.7922488451004028, 0.7780909538269043]",5,"[468502519162381374, 468502519162975550, 468502519162975585, 468502519163576015, 468502519162975547, 468502519162381374, 468502519162448746, 468502519162975547, 468502519163187334, 468502519162975585, 468502519163574494, 468502519162781529, 468502519162918957, 468502519162877851, 468502519163184644, 468502519163428430, 468502519162946603, 468502519162975596, 468502519162392238, 468502519163619224, 468502519163759779, 468502519163668552, 468502519163917555, 468502519163654822, 468502519163863601]"
22,MEDQA,0.004202446900308132,0.0013643348356708884,0.0025489130057394505,0.9074758887290955,0.08440840989351273,3,0.45415306091308594,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163861774, 468502519163892105, 468502519163779848, 468502519163661114, 468502519163618986]","[0.7944312691688538, 0.8028832674026489, 0.7903138995170593, 0.8129663467407227, 0.7912993431091309]",1,"[-1, -1, -1, -1, -1]"
23,MEDQA,0.047246646136045456,0.837466835975647,0.036795724183321,0.041695017367601395,0.036795724183321,4,0.42993783950805664,False,"['TEXT', 'PBMD', 'TEXT', 'PBMD', 'TEXT']","[468502519162327191, 468502519163779848, 468502519162327160, 468502519163124580, 468502519162394786]","[0.7730399966239929, 0.764119565486908, 0.7644890546798706, 0.7684807777404785, 0.7844423651695251]",1,"[-1, -1, -1, -1, -1]"
24,MEDQA,0.6169269680976868,0.0834919884800911,0.09460882097482681,0.0834919884800911,0.12148012220859528,0,0.540971040725708,False,"['STAT', 'TEXT', 'PBMD', 'PBMD', 'PBMD']","[468502519162696805, 468502519162391888, 468502519163860960, 468502519163667139, 468502519163984837]","[0.807234525680542, 0.8457520008087158, 0.8024951815605164, 0.8065838813781738, 0.8102521896362305]",1,"[-1, -1, -1, -1, -1]"
25,MEDQA,0.008480943739414215,0.0013005947694182396,0.0014737669844180346,0.008480943739414215,0.9802637696266174,4,0.3640623092651367,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163571851, 468502519163337122, 468502519163039382, 468502519163512994, 468502519163398806]","[0.7964509725570679, 0.8026676177978516, 0.8217096328735352, 0.7950078248977661, 0.7956146001815796]",1,"[-1, -1, -1, -1, -1]"
26,MEDQA,0.0019197058863937855,0.0002598039573058486,0.001694134552963078,0.001694134552963078,0.994432270526886,4,0.4328799247741699,False,"['STAT', 'PBMD', 'STAT', 'TEXT', 'PBMD']","[468502519162847557, 468502519163822137, 468502519162990440, 468502519162328144, 468502519163735851]","[0.7733697295188904, 0.7909684181213379, 0.7744429707527161, 0.7699072957038879, 0.7708510160446167]",1,"[-1, -1, -1, -1, -1]"
27,MEDQA,0.8721796274185181,0.0338180735707283,0.0338180735707283,0.010979121550917625,0.04920500889420509,0,0.5601170063018799,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163054722, 468502519163169908, 468502519163341518, 468502519163842182, 468502519163375439]","[0.7985833883285522, 0.8024435043334961, 0.7910816669464111, 0.7898417711257935, 0.7966477274894714]",1,"[-1, -1, -1, -1, -1]"
28,MEDQA,0.14027507603168488,0.024376152083277702,0.14027507603168488,0.5547986626625061,0.14027507603168488,3,1.676293134689331,False,"['TEXT', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519162417087, 468502519163818956, 468502519163872852, 468502519163745720, 468502519163320209]","[0.7983248829841614, 0.7840217351913452, 0.7759810090065002, 0.7953141927719116, 0.7785661220550537]",5,"[468502519163600105, 468502519163819826, 468502519163525474, 468502519162760610, 468502519163671246, 468502519162765441, 468502519163971154, 468502519163761120, 468502519162696900, 468502519162907209, 468502519163820556, 468502519163515924, 468502519163800538, 468502519162389415, 468502519163412262, 468502519163728009, 468502519163800538, 468502519163515924, 468502519163820556, 468502519163412262, 468502519163820556, 468502519163798806, 468502519163412262, 468502519163427417, 468502519163089821]"
29,MEDQA,0.111429862678051,0.006286442745476961,0.006286442745476961,0.8233615159988403,0.052635740488767624,3,0.3593101501464844,False,"['TEXT', 'PBMD', 'STAT', 'PBMD', 'PBMD']","[468502519162371928, 468502519163471076, 468502519162891132, 468502519163514743, 468502519163917567]","[0.7983263731002808, 0.8030946850776672, 0.8023806810379028, 0.7886210083961487, 0.7948269844055176]",1,"[-1, -1, -1, -1, -1]"
30,MEDQA,0.04434200003743172,0.014395740814507008,0.026894783601164818,0.0237345639616251,0.8906329274177551,4,0.4663987159729004,False,"['TEXT', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519162414993, 468502519163972368, 468502519163653304, 468502519163967599, 468502519163453434]","[0.8044171929359436, 0.7971054911613464, 0.7995322942733765, 0.801413893699646, 0.8063881397247314]",1,"[-1, -1, -1, -1, -1]"
31,MEDQA,0.14543764293193817,0.047216691076755524,0.2717133164405823,0.34888678789138794,0.18674564361572266,2,2.1323583126068115,False,"['PBMD', 'PBMD', 'PBMD', 'TEXT', 'PBMD']","[468502519163049966, 468502519163672000, 468502519163509221, 468502519162408638, 468502519163055785]","[0.8113896250724792, 0.7988038063049316, 0.7965623736381531, 0.7937113046646118, 0.7991237640380859]",5,"[468502519163771628, 468502519163860724, 468502519163357737, 468502519163653988, 468502519163931626, 468502519163956878, 468502519163784772, 468502519163484627, 468502519163779822, 468502519163174873, 468502519163779822, 468502519163941741, 468502519163689699, 468502519163940591, 468502519163710102, 468502519163779822, 468502519163345488, 468502519163671998, 468502519163509221, 468502519163052285, 468502519163725017, 468502519163606153, 468502519163610976, 468502519163052285, 468502519163627364]"
32,MEDQA,0.05738193169236183,0.016440197825431824,0.792133092880249,0.03943798318505287,0.09460680931806564,4,1.1308894157409668,False,"['PBMD', 'PBMD', 'STAT', 'PBMD', 'PBMD']","[468502519163259392, 468502519163140663, 468502519162882722, 468502519163359112, 468502519163987838]","[0.7958595156669617, 0.8000196218490601, 0.7901318073272705, 0.7987759709358215, 0.7939499616622925]",3,"[468502519163062754, 468502519163321689, 468502519163933595, 468502519163040111, 468502519163932372, 468502519163676787, 468502519163695506, 468502519163062754, 468502519163920644, 468502519163933595, 468502519163671250, 468502519163140663, 468502519162332020, 468502519163413263, 468502519163532029]"
33,MEDQA,0.0670480951666832,0.013202552683651447,0.03588825836777687,0.0670480951666832,0.8168129920959473,1,1.2650461196899414,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163029705, 468502519163883746, 468502519163397971, 468502519163087736, 468502519163839320]","[0.807746171951294, 0.8079960942268372, 0.8042535185813904, 0.805569052696228, 0.8042515516281128]",5,"[468502519163400430, 468502519162421494, 468502519162420427, 468502519163479890, 468502519163087949, 468502519163645321, 468502519163648438, 468502519163613153, 468502519163370871, 468502519163244689, 468502519163823060, 468502519162789150, 468502519162427637, 468502519162413249, 468502519162383404, 468502519162421494, 468502519162775380, 468502519162420427, 468502519162420471, 468502519163014541, 468502519162459061, 468502519163400430, 468502519162421494, 468502519163498599, 468502519163260567]"
34,MEDQA,0.5133870840072632,0.0892132967710495,0.1298045814037323,0.07873046398162842,0.1888645589351654,1,0.8116569519042969,False,"['TEXT', 'TEXT', 'STAT', 'TEXT', 'TEXT']","[468502519162352301, 468502519162353493, 468502519162753646, 468502519162353494, 468502519162329173]","[0.7753282785415649, 0.810309112071991, 0.7734373807907104, 0.7854019999504089, 0.7798159122467041]",2,"[468502519162777611, 468502519162389113, 468502519163334702, 468502519162894916, 468502519162787909, 468502519162939318, 468502519162353504, 468502519162777612, 468502519162695462, 468502519162353476]"
35,MEDQA,0.9500318169593811,0.01355147548019886,0.01355147548019886,0.01355147548019886,0.00931378360837698,0,0.5187516212463379,False,"['PBMD', 'TEXT', 'PBMD', 'TEXT', 'PBMD']","[468502519163410552, 468502519162350686, 468502519163345715, 468502519162351092, 468502519163960333]","[0.7780466079711914, 0.7809337377548218, 0.7786543965339661, 0.7918844819068909, 0.8032886981964111]",1,"[-1, -1, -1, -1, -1]"
36,MEDQA,0.0070953150279819965,0.001583178760483861,0.0026102205738425255,0.9293028712272644,0.05940834432840347,4,0.332256555557251,False,"['TEXT', 'TEXT', 'TEXT', 'PBMD', 'PBMD']","[468502519162326366, 468502519162307512, 468502519162326330, 468502519163911005, 468502519163238886]","[0.7727040648460388, 0.7702703475952148, 0.7651643753051758, 0.8045427203178406, 0.7615861892700195]",1,"[-1, -1, -1, -1, -1]"
37,MEDQA,0.8915363550186157,0.01632905751466751,0.011222786270081997,0.06458268314599991,0.01632905751466751,0,1.1708264350891113,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163164647, 468502519163923753, 468502519163871094, 468502519163740362, 468502519163738005]","[0.8028876185417175, 0.822597086429596, 0.8071169257164001, 0.8152607679367065, 0.8146489262580872]",2,"[468502519162781476, 468502519162797909, 468502519162350317, 468502519162797910, 468502519162781584, 468502519163131442, 468502519163675521, 468502519163791657, 468502519162788417, 468502519162694809]"
38,MEDQA,0.1697777509689331,0.10297542065382004,0.14982834458351135,0.21799896657466888,0.3594195246696472,4,1.8839728832244873,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163834766, 468502519163937385, 468502519163953714, 468502519163552789, 468502519163933042]","[0.7700814008712769, 0.7782771587371826, 0.7782706618309021, 0.7788441181182861, 0.7856564521789551]",5,"[468502519163387482, 468502519163953714, 468502519163200402, 468502519163203585, 468502519163270668, 468502519162325820, 468502519162390096, 468502519162331781, 468502519162331778, 468502519163387482, 468502519162390096, 468502519162331778, 468502519163387482, 468502519163270668, 468502519163336292, 468502519163661859, 468502519163200402, 468502519163270668, 468502519163387482, 468502519163953714, 468502519163834766, 468502519163126040, 468502519163387482, 468502519163200402, 468502519163270668]"
39,MEDQA,0.6021876931190491,0.05601218342781067,0.11857778578996658,0.1046445295214653,0.11857778578996658,0,0.3507044315338135,False,"['STAT', 'PBMD', 'PBMD', 'PBMD', 'STAT']","[468502519162426197, 468502519163186019, 468502519163490799, 468502519163241048, 468502519162426192]","[0.7955039143562317, 0.7936670780181885, 0.7955400347709656, 0.7933886051177979, 0.806817352771759]",1,"[-1, -1, -1, -1, -1]"
40,MEDQA,0.004124552942812443,0.003639905247837305,0.007705679628998041,0.8906554579734802,0.09387439489364624,3,0.6494021415710449,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163786454, 468502519163712857, 468502519163790247, 468502519163869774, 468502519163561589]","[0.8057297468185425, 0.8119326233863831, 0.8152352571487427, 0.8104419708251953, 0.8095226287841797]",1,"[-1, -1, -1, -1, -1]"
41,MEDQA,0.013523003086447716,0.0049748350866138935,0.948035717010498,0.025264296680688858,0.008202116005122662,2,0.7269439697265625,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163979410, 468502519163658423, 468502519163683245, 468502519163521303, 468502519163898397]","[0.7760545611381531, 0.7863851189613342, 0.7784239649772644, 0.7750511169433594, 0.7839358448982239]",1,"[-1, -1, -1, -1, -1]"
42,MEDQA,0.07180126756429672,0.04934823885560036,0.7719363570213318,0.06336439400911331,0.04354966804385185,0,0.5040714740753174,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163571505, 468502519163620808, 468502519163282642, 468502519163355631, 468502519163845822]","[0.8159810304641724, 0.7975707054138184, 0.7982306480407715, 0.7873985171318054, 0.8047105073928833]",1,"[-1, -1, -1, -1, -1]"
43,MEDQA,0.15465021133422852,0.039101697504520416,0.4763562083244324,0.17524166405200958,0.15465021133422852,2,1.6617889404296875,False,"['STAT', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519162484671, 468502519163721811, 468502519163735522, 468502519163351866, 468502519163467338]","[0.7506918907165527, 0.7482811808586121, 0.7540680170059204, 0.7567893266677856, 0.7504988312721252]",5,"[468502519163213947, 468502519162754924, 468502519163716723, 468502519163721811, 468502519163882342, 468502519163108122, 468502519163257230, 468502519163158737, 468502519162754924, 468502519163473001, 468502519163090507, 468502519163414470, 468502519163089477, 468502519163872375, 468502519163421896, 468502519163300794, 468502519163257230, 468502519163251796, 468502519163213947, 468502519163467338, 468502519163300794, 468502519163404895, 468502519163297390, 468502519163784537, 468502519163514401]"
44,MEDQA,0.24719305336475372,0.13231290876865387,0.09093723446130753,0.3596637547016144,0.16989313066005707,1,1.388082504272461,False,"['PBMD', 'TEXT', 'PBMD', 'PBMD', 'PBMD']","[468502519163265053, 468502519162417561, 468502519163790247, 468502519163412848, 468502519163611690]","[0.7855486273765564, 0.7703297138214111, 0.8081257343292236, 0.7839804291725159, 0.7813681364059448]",5,"[468502519163736222, 468502519163967058, 468502519162806707, 468502519162310640, 468502519162806676, 468502519162945028, 468502519162713736, 468502519162945030, 468502519162307713, 468502519163539912, 468502519162730051, 468502519162707755, 468502519162943163, 468502519162315472, 468502519163967058, 468502519162310535, 468502519162310649, 468502519162765774, 468502519163228884, 468502519162930356, 468502519162724721, 468502519162765774, 468502519162707755, 468502519162314557, 468502519162930361]"
45,MEDQA,0.028051624074578285,0.007092561572790146,0.14245790243148804,0.0026092075277119875,0.8197886347770691,4,0.4779648780822754,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163773159, 468502519163721552, 468502519163782927, 468502519163662788, 468502519163703220]","[0.7566324472427368, 0.7516046166419983, 0.7570236921310425, 0.7544035315513611, 0.7516338229179382]",1,"[-1, -1, -1, -1, -1]"
46,MEDQA,0.028973150998353958,0.6594258546829224,0.18892867863178253,0.06133616343140602,0.06133616343140602,2,0.561570405960083,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163357119, 468502519163714395, 468502519163874299, 468502519163647085, 468502519163728836]","[0.770550549030304, 0.7668400406837463, 0.7737334370613098, 0.7868242263793945, 0.7654675245285034]",1,"[-1, -1, -1, -1, -1]"
47,MEDQA,0.23980559408664703,0.03245415538549423,0.06063234806060791,0.39537256956100464,0.2717353403568268,0,1.4007153511047363,False,"['TEXT', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519162412083, 468502519163890815, 468502519163542125, 468502519163061525, 468502519163744099]","[0.8018069267272949, 0.8151060342788696, 0.8025515079498291, 0.7883509397506714, 0.7947156429290771]",5,"[468502519162958642, 468502519162989439, 468502519162420256, 468502519162345280, 468502519162420265, 468502519162958644, 468502519162420256, 468502519162701028, 468502519162698956, 468502519163220380, 468502519162989448, 468502519163504449, 468502519163359151, 468502519162306946, 468502519162952913, 468502519163298852, 468502519162758391, 468502519163751461, 468502519162326980, 468502519162359821, 468502519162989447, 468502519162958644, 468502519163298852, 468502519163524056, 468502519162989448]"
48,MEDQA,0.06623993813991547,0.8069676756858826,0.05845654383301735,0.05158771574497223,0.016748080030083656,1,0.42078471183776855,False,"['TEXT', 'PBMD', 'STAT', 'STAT', 'PBMD']","[468502519162373016, 468502519163983864, 468502519162981057, 468502519162722255, 468502519163020059]","[0.7849112749099731, 0.7903609275817871, 0.7845836877822876, 0.7850211262702942, 0.7840014696121216]",1,"[-1, -1, -1, -1, -1]"
49,MEDQA,0.00029471635934896767,6.576011219294742e-05,5.803309613838792e-05,0.9955130219459534,0.004068434238433838,3,0.4523773193359375,False,"['PBMD', 'TEXT', 'PBMD', 'PBMD', 'PBMD']","[468502519163126009, 468502519162346294, 468502519163650911, 468502519163477007, 468502519163231246]","[0.7907322645187378, 0.7914608716964722, 0.7971057891845703, 0.7969340682029724, 0.8111722469329834]",1,"[-1, -1, -1, -1, -1]"
