id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name
ba3d2acf-22c5-416f-9d73-63d879a0a03c,Helminth implicated in causing pernicious anemia is:,Diphyllobothrium latum,Ascaris,Taenia solium,Hymenolepis nana,0,multi,"Ans: A. Diphyllobothrium latum (Ref: Paniker's 7/e p118, b/e p142; lawetz 27/e p731; Harrison 19/e p1434.Helminth implicated in causing pernicious anemia is Diphyllobothrium latum.Diphyllobothrium latum:Disease caused by tapeworms is chiefly vague abdominal discomfo and loss of appetite, leading to weight loss.D latum has an unusual capacity to absorb vitamin B12 a causing vitamin B12 deficiency a Pernicious anemia may rarely develop.",Microbiology,
45af739b-3110-487d-b75c-73dfb33df1e4,Phage mediated change in C. diphtheria is due to which of the following?,Conjugation,Transformation,Transduction,None of the above,2,multi,"Ans: C. Transduction(Ananthanarayan 10/e p59, 8/e p65-67; Jawetz 27/e p112).Phage mediated change in C. diphtheria is due to Transduction.In transduction, donor DNA is carried by a phage coat and is transferred into the recipient by the mechanism used for phage infection.Methods of transferMechanismNature of DNA transferredConjugationTransfer of DNA form one bacterium toChromosomal or plasmid DNAdegTransductionTransfer of DNA form one bacterium toAny gene in generalized transduction, only selected genes in specialized transductiondegTransformationTransfer of DNA from one bacterium toAny genedeg",Microbiology,
251fc405-17b6-4179-9800-1cb17a52a1a1,About Bacteroids. True are all except,Susceptible to many antibiotics,Present mainly in mixed infections,Most common species is B fragilis,Bile resistant anerobes,0,multi,,Microbiology,
9700977a-4009-4233-8fab-fe55e727be6b,"A 22 years old male presented with history of fever, sore throat and enlarged neck lymph nodes. He was ordered a Paul-Bunnell test with a suspicion of Infectious mononucleosis. What is the immunological basis behind the use of this test?",Heterophile antibody test,Complement mediated agglutination reaction,Homophile antibody test,Latex agglutination test,0,single,Answer- A. Heterophile antibody testEpstein-Bat virus (EBV) infection includes specific antibodies to EBV and various unrelated non-EBV heterophile antibodies. These heterophile antibodies reuct to antigens from animal RBCs. Sheep RBCs agglutinate in the presence of heterophile antibodies and are the basis for the Paul-Butrnell test.,Microbiology,
6150409c-32c4-4db3-93a7-63b2f7ac66c5,Anaphylaxis is mediated by,5-hydroxytryptamine,Heparin,ProstaglandinImmunology,All of these,3,multi,"Answer- D. All of these* Primary mediators (These are present in mast cell granules) Includes:* Biogenic Amines :- Histamine, 5-Hydroxytryptamine* Proteoglycans : Heparin* Secondary mediators:* Leukotrienes :- LTC4 D4,V* Cytokines:- ILl,lLg,lL4,IL-5, IL4 TNF and GMCSF",Microbiology,
db465e84-d92a-49f2-a5f9-3c0c771aa507,Transmits which disease,Kyasanur forest disease,Scrub typhus,Japanese encephalitis,Leptospirosis,1,single,"Trombiculid mite is a vector of chiggerosis or Scrub typhus which is caused by Orientia Tsutsugamushi. Scrub typhus causes fever, myalgia and black Eschar. Kyasanur forest disease is transmitted to humans through the bite of infected hard ticks. Japanese encephalitisvirus is transmitted to humans through the bite of infected Culex species mosquitoes, paicularlyCulex tritaeniorhynchus. Leptospirosis transmitted through rodents",Microbiology,AIIMS 2019
818e92da-69f5-41d8-a15a-f22c851140fb,Malaria relapse common with which type plasmodium species?,Plasmodium malariae and vivax,Plasmodium falciparum and vivax,Plasmodium vivax and ovale,Plasmodium ovale and malariae,2,single,"Relapse :- The resting forms are called hypnozoites. It is feature seen in P.vivax and P.ovale. From time to time, some are activated to become schizonts and release merozoites, which go on infecting RBCs producing clinical relapse. Recrudescence:- In Plasmodium falciparum and P. malariae, initial tissue phase disappears completely, and no hypnozoites are found. However ,small numbers of erythrocytic parasites persist in the blood stream and in due course of time, they multiply to reach significant numbers resulting in clinical disease.",Microbiology,AIIMS 2017
0f2fc319-7fca-4f39-b2e9-be49e7abe79d,Chemotactic cytokine is,IL-1,IL-6,IL-8,TNF,2,single,,Microbiology,
24ba87cd-83d3-4768-b6fa-c246bde2b821,Cyst of parasite seen in stool microscopy. What is the organism?,Entamoeba dyspar,Balantidium coli,Giardia lambia,Taenia solium,2,single,The given cyst have axostyle and 4 nuclei are present - features of Giardia lamblia. Trophohozoites of Giardia lamblia have 4 pairs of flagella and have falling leaf like motility. Balantidium coli- cyst are binucleated Entamoeba dyspar- quadrinucleated cyst no axostyle Taenia solium-no cyst eggs are seen in faeces,Microbiology,AIIMS 2017
02e841ba-5ecf-4f3b-974e-e1a077bcae5a,"Child has received full rabies vaccination in December 2018 and now presented with oozing wound on great toe and the pet had vaccination also, what would you do now?",No vaccine,2 doses of vaccine on day 0 and 3,Full 5 doses of vaccines,Rabies Ig and full vaccination,1,single,Answer B. 2 doses of vaccine on day 0 and 3Two doses of vaccine on Day 0 & 3 should be administered to this boy.This case is classified under WHO category III since the bleeding was present at the site of dog-bite(toe). This kid should receive PEP without any delay as his immunization was done more than 3 months ago.,Social & Preventive Medicine,
90896a33-2ebb-4fee-b954-d37984ba6847,What is under-5 moality' rate in world by 2010?,6 million,8 million,10 million,12 million,1,single,"Answer- B. 8 millionIn 2012, 6.6 million, 2011, 6.9 million children underfive died, down from 7.6 million in, 8.1 million in 2009 and 12.4 million in 1990.",Social & Preventive Medicine,
007d53f1-6364-4482-b62e-5b51134a222c,A child has received full Rabies vaccination in December 2018 and now presented with oozing wound on Great toe and the pet had vaccination also. Next line of management is,No vaccine required,RIG + 5 doses of vaccine,5 doses of vaccines only,2 doses of Rabies vaccine,3,single,"According to NRCP 2015,National Rabies prophylaxis Guidelines (NRPG) says even the pet is vaccinated, no chance is taken, Rabies is 100% Fatal disease. So, Pet's vaccination status is not so relevant in India guidelines Post exposure prophylaxis. 2 IM doses of Rabies vaccine on Day 0,3. Day 0 3 7 14 28 ESSEN Regimen IM 1 1 1 1 1 THAI updated ID Red close R. 2 2 2 0 2 All these vaccinations come under primary level prevention & specific protection. New Recommended Regimens/ Schedules { NEW GUIDELINES} Type of prophylaxis Regimen POST EXPOSURE INTRAMUSCULAR Essen Regimen (1-1-1-1-1) Day 0,3,7,14,28 POST EXPOSURE INTRADERMAL Updated Thai Red Cross Regimen (2-2-2-0-2) Day 0,3,7,28 POST-EXPOSURE IN VACCINATED INDIVIDUALS Day 0,3 PRE-EXPOSURE PROPHYLAXIS Day 0,7,21/28",Social & Preventive Medicine,AIIMS 2019
4c8ba505-85f6-426b-9f60-bea158011d06,Immune thrombocytopenic purpura (ITP) is a complication observed with which of the following vaccines? (Asked twice),MMR,HIV conjugate polysaccharide vaccine,Typhoid Vi polysaccharide vaccine,Influenza vaccine,0,single,"Answer- A. MMRITP develop in one in every 24,000 doses of the MMR vaccine givenBruise-like spotsIn rare cases, a child may get a small rash of bruise like spots a but two weeks after having the MMR vaccine.This side effect is linked to the rubella vaccine and is known as idiopathic thrombocytopenic purpura (ITP).",Social & Preventive Medicine,
ddb3f2a6-295a-4d4b-8478-5c15049b62a8,Which of the following committees has recommended a 3-year bachelor degree in medical education for rural health service?,High level expe group of universal health program for india,Central bureau of health investigation,Srivastava committee,Sundar committee,0,single,Answer- A. High level expe group of universal health program for indiaConcept of 3 years bachelor para-medical course for rural health service was proposed by Ministry of health and family welfare and received backing of Planning Commission of India's High level expe group of universal health program.,Social & Preventive Medicine,
607d0116-5f85-4d42-87d2-e6fd96abc366,'There has been a gradual increase in number of non-communicable disease cases as compared to previous years. This trend is called:,Seasonal,Cyclical,Periodical,Secular,3,multi,"Ans: D. Secular(Ref Parks 24/e p69, 23ie p66, 22/c p63)Secular:Trend of gradual increase in number of non- communicable disease cases as compared to previous years.Implies changes in disease occurrence over long time period (several years or decades).Maybe progressive increase/decrease in disease occurrence.Hence, long-term trend.Eg:CHD, lung cancer & DM (non-communicable disease) - Consistent upward trend in developed countries.TB, typhoid fever, diphtheria & polio - Declined trend in developed countries.",Social & Preventive Medicine,
78cde0de-1205-4bcb-a646-992a909fd268,"Calculate the neonatal moality rate for a population according to the data of 2012. Number of neonatal deaths- 450, number of stillbihs-212, total number of live bihs-12,450.",36,15,90,56,0,single,Ans. a. 36Neonatal moality rate=Number of deaths of children under 28 years of age in a year (neonatal deaths) x 1000/ Total live bihs in the same year450 x 1000/ 12450= 36 per 1000 live bihs,Social & Preventive Medicine,
bf96e90e-8e47-4660-93c7-bd01ec8735fb,Which of these is the best study to evaluate effect and outcome?,Clinical trial,Coho,Case control study,Cross sectional study,0,single,"Ans: A. Clinical trialAmong the given options, clinical trial is the best study to evaluate effect and outcome.Randomized control trial (Experimental study or Intervention study):Considered as the ideal design to evaluate the effectiveness and the side-effects of new forms of intervention.Coho Study:A study design where one or more samples (called cohos) are followed prospectively and subsequent status evaluations with respect to a disease or outcome are conducted to determine which initial paicipants exposure characteristics (risk factors) are associated with it.",Social & Preventive Medicine,
1acc9c45-12a8-4fd0-92e6-c7980c21348a,Which of the following parameters is used to determine the sensitivity of vaccine due to heat?,VVM,VMV,VCM,VMM,0,single,"Ans: A. VVMRef: K Park, 23'd ed, pg. 110VVM (Vaccine Vial Monitor)VVM is a label containing a heat-sensitive material which is placed on a vaccine l to register cumulative heat exposure over time.It has outer blue circle and inner white square.",Social & Preventive Medicine,
b65ef6a8-7a2f-4538-926c-4bc0c0640313,"To evaluate post-operative vision effects after cataract extraction surgery under PCB, which of the following is used?",Active surveillance,Sentinel surveillance,Passive surveillance,Routine checkup of all operated cases,3,multi,"Answer- D. Routine checkup of all operated casesTb evaluates postoperative vision effects after cataract extraction surgery under NPCB, routine checkup of all operated cases is used.Strategies under National Programme for Control of Blindness (NPCB)Improving follow-up services of cataract operated patients and treating other causes of epidemics like glaucomaShift eye camp approval to a fixed surgical approach and from conventional surgery to IOL installation for better quality of postoperative vision to operated patients.Expand World Bank Project activities like construction of dedicated eye operation theatres, eye wards at district level, training of other ophthalmic equipment's to the work community.To strengthen paicipants of voluntary organizations in the programme.To enhance the coverage of eye care services in the tribal and underserved areas.Screening of refractive errors in school going children.",Social & Preventive Medicine,
b92c7401-27d9-4cc0-80f1-5e6369047365,Some medicine comes with a label of 'store at a cool place only'. At what temperature should these medicines be kept?,8-15 degC,2-8 degC,0 degC,25-28 degC,0,single,"Ans: A. 8-15 degC(Ref: Park 22/e p100)Some medicines come with label of 'store at a cool place only'.These medicines should be kept at 8-15 degC.Definitions of Storage Conditions of Drugs as per Ip 6 (Indian Pharmacopoeia 1996)ColdAny temperature not exceeding 8degC and usually between 2-8degC. A refrigerator is a cold place in which the temperature is maintained thermostatically between 28degC.CoolAny temperature between 8-25degC.An aicle, for which storage in a cool place is directed may alternately,be stored in a refrigerator unless otherwise specified in the individual monograph.Room TemperatureThe temperature prevailing in a working area.WarmAny temperature between 30-40degC.Excessive heatAny temperature above 40degC.Light resistant containersA light-resistant container protect the content from the effect of actinic light by viue of the specific propeies of the material of which it is made.Well closed containerA well-closed container protects the contents from contamination by extraneous liquid & from loss of the aicle under normal condition of handling, shipment, storage & distribution.Well closed containerA tightly closed container protects the contents from contamination by extraneous liquid & solids or vapor, from loss or deterioration of the aicle from effervescence, deliquescent or evaporation under normal condition of handling, shipment, storage & distribution.",Social & Preventive Medicine,
3b261ffc-4ab3-4e68-a7b8-8e3881edfa55,Pneumococcal vaccine PCV 23 polysaccharide has shown the best results in the following people,Sickle cell anemia,Cystic fibrosis,Child less than 2 year age,Recurrent otitis media and sinusitis,0,single,"- PCV 23 vaccine is recommended for, - Older people > 65 years age - 2-64 years age if they have, Chronic cardiovascular disease Chronic pulmonary disease Diabetes mellitus Alcoholic Chronic smokers Chronic liver disease / cirrhosis Asplenia like sickle cell disease or splenectomy Immunosuppressed like HIV Organ transplantation Renal disease / transplantation - For children < 2 years age, PCV- 23 is strictly contraindicated.",Social & Preventive Medicine,AIIMS 2019
cc956481-f985-449c-ac18-22c7109b641b,Measuring variation between two different units is done through,Variance,Standard deviation,Coefficient of variation,Range,2,single,,Social & Preventive Medicine,
98e20d31-45bf-46c2-80cd-a9020dcaf014,"A recently delivered woman with a 15 days old child suffering from cough, sneezing and fever needs help. She has no money for transpoation to nearby hospital. Which of the national programme can help this woman?",JSSK,Indira Gandhi YojanaF-IMNCI,F-IMNCI,Home-based Care,0,single,"Ans: A. JSSK(Ref Park 24/e p476, 23/e p456, 22/e p420; Shishu Suraksha Karyakaram (JSSK), the national programme can help this woman. Janani-Shishu Suraksha Karyakram (JSSK)The initiative entitles all pregnant women delivering in public health institutions to absolutely free and no expense to delivery, including cesarean section.Includes free drugs and consumables, free diet up to 3 days during normal delivery and up to 7 days for cesarean section, free diagnostics, and free blood wherever required.Provides for free transpo from home to institution, between facilities in case of referral and drop back home.Similar entitlements for all sick newborns & infants accessing public health institutions for treatment till 30 days after bih.Aims to eliminate out of pocket expenses incurred by the pregnant women and sick new borns while accessing services at Government health facilities.",Social & Preventive Medicine,
dd8ed71b-5a18-4683-a64f-6187c82c94ed,Which is the best distribution to study the daily admission of head injury patients in a trauma care centre,Normal distribution,Binomial distribution,Uniform distribution,Poisson distribution,3,single,"POISSON DISTRIBUTION:

Is a ‘discrete probability distribution’ that expresses the ‘probability of a number of events occurring in a fixed period of time’ (if these events occur with a known average rate and independently of the time since the last event)
It can also be used for the number of events in other specified intervals such as distance, area or volume
Is generally used to model the number of events occurring within a given time interval
Is a discrete distribution which takes on the values X = 0, 1, 2, 3,….

In the given question, one has to study the daily admission of head injury patients in a trauma care centre, Since, it describes the no. of events in time (no. of head injury patients admitted per day, Therefore, it is a Poisson distribution.",Social & Preventive Medicine,
46653ca7-d61a-4d6a-a135-91309eff9b49,Which is the best index for burden of disease?,Case fatality rate,Morbidity data,Dependency ratio,Disability adjusted life years,3,single,Disability adjusted life years : Is a measure of the burden of disease in a defined population and the effectiveness of interventions; It expresses years lost to premature death and years lived with disability adjusted for its’ severity,Social & Preventive Medicine,
af9a1805-2fda-43e1-9c73-64731258f12c,The mean systolic blood pressure was measured in a sample population of elderly females and came out to be 125 mm Hg with a standard detion of 10. 95 percent of people would have blood pressure above:,105 mm Hg,110 mm Hg,115 mm Hg,140 mm Hg,1,multi,Ans: B. 110 mm Hg(Ref: Park 24/e p 886),Social & Preventive Medicine,
b55fd5c5-4bb5-41d9-b78f-0932ac3854e6,How much population falls between median and median plus one standard deviation in a normal distribution ?,0.34,0.68,0.17,0.47,0,multi,"NORMAL DISTRIBUTION

Shape is bilaterally symmetrical
Mean = Median = Mode (coincide)
50% of all values lie above Mean (or Median or Mode)
Mean + 1SD cover 68% values (Mean + 1SD cover 34% values)
Mean + 2SD cover 95% values (Mean + 2SD cover 47.5% values)
Mean + 3SD cover 99% values (Mean + 3SD cover 49.5% values)",Social & Preventive Medicine,
579951c3-517c-41e4-ac39-0a48f474c01b,"In a village of 20,000 population 456 bihs occurred in april, 56 showed no signs of life at bih, 56 died before 28 days of life, 34 died between 28 days- 1 year, 500 was total number of deaths in that year. Infant moality rate?",197.4,320,225,125,2,single,Ans.C.225IMR = Number of deaths of children less than 1 year of age in a year X 1000/number of live bihs in the same year.IMR=56+34 X1000/400= 225,Social & Preventive Medicine,
1badc5bb-d61a-48ea-9288-3754612f74a5,"In a JubLeitter arca pith crude bih rate of 211, what would be the expected number of ANC registrations?",60,80,100,120,0,single,"Ans. a. 60In a subcenter area with crude bih rate of 20, the expected number of ANC registrations should be approximately 55.Number of Expected Pregnancies per Year Expected no. of live-bihs (Y)/year= Bih rate (per 1000 population) x Population of the area/1000 Number of Expected Pregnancies per YearAs some pregnancies may not result in a live bih (i.e., aboions & stillbih may occur), the expected number of live bihs would be an under-estimation of the total number of pregnancies. Hence, a correction factor of 10% is required, i.e., add 10% to the figure obtained above.Total number of Expected Pregnancies Z = Y + 10% of YPopulation under the subcentre = 5000Bih rate = 20Expected no. of live-bihs (Y)/year = 20 x 5000/1000 = 100Total number of Expected Pregnancies Z = Y + 10% of Y =100 + 10% of 100 = 110Expected number of ANC registrations will be half of yearly calculation = 55",Social & Preventive Medicine,
ad724a47-320a-4b79-81d9-8bea8da0f4a5,"Without supervision, allowed to give dentures",Denturist,Hygienist,School Dental nurse,Dental therapist,0,multi,,Dental,
8abcdea2-c351-4df7-ab42-8898201f9949,"For which of the following, you will not perform pulpectomy?",Primary teeth with sinus tract,Primary teeth without successor,Primary teeth with furcation pathology,Pulpless primary teeth next to the line of a palatal cleft,2,single,"Primary teeth with furcation pathology, pulpectomy is not indicated, rather it requires extraction.",Dental,
175a37d0-a4ea-4c5e-b1c1-bf1fec51d2bc,"In occlusion, the teeth have",Cusp-to-cusp contact,Edge-to-edge contact,Marginal contact,Surface-to-surface contact,3,single,,Dental,
985566bc-67a2-4f42-8bc5-4bd8bfc84bab,The procedure preferred for periodontal surgery in mandibular anterior teeth is,Gingivectomy,Periodontal flap,Subgingival curettage,Grafting,1,single,,Dental,
f40c0c62-826b-4dee-831d-2dcd9eacedf4,Among anteriors highest incidence of bifurcated root is seen in,Mandibular canine,Maxilary canine,Mandibular Lateral incisor,Mandibular central incisor,0,single,,Dental,
36afb87d-0e47-49c4-a770-62b80978844d,Surface roughness of an orthodontic mini-screw implant can be measured by:,Gyrometer,Androidometer,Profilometer,Resonance analyzer,2,single,"The quality of the surface finish and polish can be characterized by the measurement of the surface roughness using a profilometer, an optical microscope or an SEM.
Reference: Phillips 12th ed page no 236",Dental,
ed4c848b-b400-4d78-9c27-417bb44cced3,Highest incidence of atypical root canal or root among all teeth is seen in,Mandibular 1st premolar,Mandibular canine,Maxillary 1stpremolar,Mandibular 2nd premolar,0,multi,,Dental,
b7021f6a-0299-49df-a478-009fe45c5d92,Hidden X suture proves to be a novel suturing technique for:,Alveolar ridge preservation,Apical repositioning flap,Coronal repositioning flap,Papillae repositioning flap,0,single,,Dental,
e6ffb56f-8545-4c0a-ba5f-2f5294d6a544,In dental materials setting time is measured by which test,Rockwell test,Cold blend test,Vickers test,Vicat needle method,3,single,,Dental,
04adb80a-e020-4328-a871-e403f6d5861f,Which of the following appliances is not used for slow maxillary expansion?,Jack screw,Coffin spring,Quad helix appliance,Hyrax appliance,3,single,"Hyrax appliance 
This type of expander uses the Hyrax (hygienic rapid expansion) screw. It has heavy wires that are adapted, welded and soldered to the palatal aspects of the bands in the permanent molars. It is used for Rapid palatal expansion.
Examples of slow expansion: 

Jack screw
Coﬃn spring
Quad helix appliance

Textbook of ORTHODONTICS Sridhar Premkumar",Dental,
fb4ea4bd-0f5f-40fa-b377-d0ae72b374a1,"In which of the following conditions oral screen should
not be used:",Nail biting habit,Tongue thrusting,Acute infection of tonsils and adenoids,Thumb sucking,2,single,Oral screen was first introduced by NEWELL. It works on the principles of both force application and force elimination.,Dental,
4710c6bb-67b6-47ab-85e1-7cac22bd35cf,Bluegrass appliance is used to treat:,Thumb sucking.,Tongue thrusting.,Both,Mouth breathing.,2,multi,,Dental,
2d635300-8808-4fb1-867f-cb4876001cbd,Which characteristic of orthodontic wire describe energy storage capacity?,Range,Resilience,Formability,Proportional limit,1,single,"Popularly, the term resilience is associated with springiness, but it means precisely the amount of energy absorbed within a unit volume of a structure when it is stressed to its proportional limit. 
The resilience of two or more materials can be compared by observing the areas under the elastic region of their stress-strain plots assuming that they are plotted on the same scale. The material with the larger elastic area has higher resilience.
Key Concept:
Resilience—The amount of elastic energy per unit volume that is sustained on loading and released upon unloading of a test specimen.
 
Reference: Phillips science of dental materials, 12th ed page no 48,55",Dental,
79f62df5-e7d6-4526-9866-59ba4c498cfc,In Mandibular 1st molar smallest cusp is,Distobuccal,Distal,Mesiobuccal,Mesial,1,multi,,Dental,
8c968c9b-35b1-4394-959a-fe3c80e283e5,Rooting reflex also known as search reflex disappears:,2 month,3 month,4 month,5 month,2,single,Rooting reflex disappears in 3-4 months but if both are in option then go for 4 months.,Dental,
53b25799-4578-4b4b-aa22-5c9aa6b4f62c,The least effect on the prognosis of a periodontal disease is,Suppuration from the pocket,Furcation involvement,Alveolar bone loss,Co-operation and motivation of the patient,0,single,,Dental,
01024fa5-94ba-4fa4-b322-6e9733f3553f,Dr Bernhard Giesenhagen gave which of the following,Bone ring technique,Bone flap technique,Overlap technique,Bone pouch technique,0,single,,Dental,
a115b765-ec7a-4e63-abac-50516a65b46a,A patient shows gingival swelling in lower premolar region. Biopsy was taken and histopathological examination showed endothelium-lined vascular spaces and the extreme proliferation of fibroblasts and budding endothelial cells. What could this lesion be:,Pyogenic granuloma,Fibroma,Aneurysmal bone cyst,Traumatic bone cyst,0,single,"Clinically, pyogenic granuloma is a raised lesion on either a sessile or a pedunculated base. Its surface may have a smooth, lobulated, or, occasionally, warty appearance that is erythematous and often ulcerated. Depending on the age of the lesion, the texture varies from soft to firm and is suggestive of an ulcerated fibroma. 
Because of the pronounced vascularity of these lesions, they often bleed easily when probed.
Histologically, the pyogenic granuloma presents as a remarkable proliferation of plump fibroblasts and endothelial cells with the formation of prominent numbers of  thin-walled, endothelium-lined vascular channels. A polymorphous inflammatory cell infiltrate is present, and the overlying surface epithelium is often ulcerated. Treatment consists of surgical excision, with care being taken to completely remove any local irritant that may still be present that would predispose to recurrence of the lesion.
Reference: McDONALD AND AVERY’S DENTISTRY for the CHILD and ADOLESCENT, 10th ed page no 604,605",Dental,
de4374af-70ba-41e4-b46a-5159e73a690e,In full tooth borne dentures occlusal rests transmits _________ percentage of occlusal forces to teeth:,50%,70%,80%,100%,3,single,,Dental,
a8c33cc0-c274-4e1b-9ff2-8ced913073f0,Alginate impression material is similar to agar-agar impression material in the following respect:,Gelation increases in both on increase in temperature,Mixing time is increased to reduce the setting time,Deformation during removal of impression occurs due to distortion of gel. fibers,Both can be re-used for fresh impressions,2,multi,,Dental,
d945a9d8-2cd7-4c27-9abd-0fa469d2c9f1,A radiograph of the mandibular posteriors in a patient reveals radiopacity above the apices of right 1st molar. No restoration or cavity present. There is no pain or swelling and the pulp is vital. The diagnosis is:,Periapical granuloma,Cementoblastoma,Radicular cyst,Chronic abscess,1,multi,"Radiographic Features:
The tumor mass is attached to the tooth root and appears as a well-circumscribed dense radiopaque mass often surrounded by a thin, uniform radiolucent line. The outline of the affected root is generally obliterated, because of resorption of the root and fusion of the mass to the tooth.
The associated tooth is vital, unless coincidentally involved. The lesion is slow-growing and may cause expansion of cortical plates of bone, but is usually otherwise asymptomatic.
Ref: Shafer's textbook of oral pathology 7th edition page 736",Pathology,
