question,a,b,c,d,answer,source,id
Cephalometric analysis are used to evaluate growth changes by superimposing on:,Sella - Nasion plane,Mandibular plane,FHP,Occlusal plane,0,MEDMCQA,17
Gingiva is most commonly affected by deficiency of:,Vitamin A,Vitamin D,Vitamin C,Vitamin B,2,MEDMCQA,18
"Inferior oblique muscle of the eye is responsible for all of the following, except:",Downward rotation,Lateral rotation,Extortion,Upward rotation,0,MEDMCQA,19
The best finish line for anterior metal ceramic crown is,Chamfer with bevel,Heavy chamfer,Shoulder,Shoulder with bevel,3,MEDMCQA,20
Flow of a material refers to:,Continued change of the material under a given load,The consistency of a material when mixing,The homogeneity of gypsum products,Dimensional change of the material during settings,0,MEDMCQA,21
Which of the following is associated with HIV infection,Hairy leukoplakia,Erythroplakia,Oral Lichen planus,Bullous pemphigoid,0,MEDMCQA,22
"A young donor came to the blood bank for the first time for platelet apheresis with platelet count of 1.9L. During the course he developed paresthesias, circumoral numbness during donation. His vitals remain stable though. ECG showed tachycardia with ST-T changes. What is the reason for his symptoms?",Hypovolemic shock,Hypocalcemia,Seizures,Allergic reaction,1,MEDMCQA,23
Which of the following is not used for making indirect wax pattern?,Ivory wax,Modeling wax,Utility wax,Inlay wax,2,MEDMCQA,24
"For supporting complex amalgam restoration, which of the following cement has best modulus of elasticity?",ZOE,GIC,Polycarboxylate,Zinc phosphate,3,MEDMCQA,25
"The skin of a patient undergoing radiotherapy will show
after 2 weeks?",Erythema,Depigmentation,Radiation induced carcinomas,No change,0,MEDMCQA,26
"Best graft for alveolar cleft surgery
(Or)
Patient with cleft palate graft taken from",Posterior iliac crest,Anterior iliac crest,Clavicle,Rib,0,MEDMCQA,27
"A newborn presents with congestive heart failure, on examination has bulging anterior fontanelle with a bruit on auscultation. Transfontanellar USG shows a hypoechoic midline mass with dilated lateral ventricles. Most likely diagnosis is –",Medulloblastoma,Encephalocele,Vein of Galen malformation,Arachnoid cyst,2,MEDMCQA,28
"In multirooted teeth, formation of multiple roots is due to presence of:",Epithelial diaphragm,Cell rests of Malassez,Toot bud division or bell stage,None of the above,0,MEDMCQA,29
Which of the following statements concerning hepatitis infection in pregnancy is true?:,Hepatitis B core antigen status is the most sensitive indicator of positive vertical transmission of disease,Hepatitis B is the most common form of hepatitis after blood transfusion,The proper treatment of infants born to infected mothers includes the administration of hepatitis B immune globulin as well as vaccine,Patients who develop chronic active hepatitis should undergo MTP,2,MEDMCQA,30
Most common cause of interochanteric fracture in old is -,Osteoporosis,Paget's dis,Osteopetrosis,Osteomalacia,0,MEDMCQA,31
"A 55 years old male patient presents with 4 cm x 5 cm lump in right neck. FNAC assessment revealed it to be a squamous cell carcinoma. Clinical assessment of the oral cavity, pharynx, hypopharynx and larynx did not yield any tumor. Whole body PET scan did not show any increased uptake except for the neck mass. A diagnosis of unknown primary was made. According to AJCC system of classification, the TNM status of the tumor would be:",T1N2M0,TON2aMO,T1N2aMO,TxN2aMx,3,MEDMCQA,32
Acetone free methyl alcohol is present in Leishmann's stain for:,It fixes cells to the slide,It colors the red cells,It prevents the cells from sticking to the slide surface,It stops metabolic and enzymatic activity of the cell,3,MEDMCQA,33
Which fracture results in the given deformity?,Supracondylar fracture of humerus,Lateral condylar fracture,Olecranon fracture,Radial head fracture,0,MEDMCQA,34
Which of the following may result if an excessive amount of monomer is incorporated into an acrylic resin mixture?,Excessive expansion,Low impact strength,Excessive shrinkage,Excessive brittleness,2,MEDMCQA,35
First paranasal sinus to develop at bih is:,Maxillary,Ethmoidal,Frontal,Sphenoidal,0,MEDMCQA,36
The most common bone tumor that occurs in children is:,Osteosarcoma,Ewing's sarcoma,Metastatic carcinoma,Multiple myeloma,0,MEDMCQA,37
Reversal lines are characteristic on the radiograph of:,Osteoma,Osteosarcoma,Epidermoid cyst,Paget's disease of bone,3,MEDMCQA,38
"A 60-year old male presents with painful, 141 oupet. vesicles over erythematous plaques in T3 dermatome region of trunk. Which of the following would be the most likely causative organism?",Varicella zoster,Herpes simplex,Pox virus,Papilloma virus,0,MEDMCQA,39
Erosive lichen planus resembles which of the following,Monilial gingivitis,Desquamative gingivitis,Herpetic gingivitis,Acute ulcerative gingivitis,1,MEDMCQA,40
"In oral and maxillofacial surgery, 'danger space' is known as",Carotid sheath,Posterior to carotid sheath in posterior triangle of neck,Posterior to transverse process of vertebrae,Space between alar &prevertebral fascia,3,MEDMCQA,41
Which growth factor Is not present in PRP?,PDGF aa,PDGF bb,PDGF cc,PDGF Fab,2,MEDMCQA,42
Artery palpable at the anterior border of the masseter is :,Superficial temporal artery,Facial artery,Lingual artery,Maxillary artery,1,MEDMCQA,43
"In a post operative intensive care unit, five patients
developed post-operative wound infection on the same wound. The best method to prevent cross infection occurring in other patients in the same ward is to:",Give antibiotics to all other patients in the ward,Fumigate the ward,Disinfect the ward with sodium hypochlorite,Practice proper hand washing,3,MEDMCQA,44
C wave in JVP due to,Atrial contraction,Atrial filling,Tricuspid bulging,Rapid ventricular filling,2,MEDMCQA,45
Pulsatile varicose veins in lower limbs is seen in –,Klippel trenaunay syndrome,TR,RV failure,Carcinoid stenosis of tricuspid,0,MEDMCQA,46
Steps of intubation - arrange in sequence:- a. Head extension and flexion of neck b. Introduction of laryngoscope c. Inflation of cuff d. Check breath sounds with stethoscope e. fixation of the tube to prevent dislodgement,ABCDE,DBCEA,ACBED,CBAED,0,MEDMCQA,47
Endocrine glands that are not influenced by the pituitary gland include the:,"Thyroid gland, testes, and adrenal medulla","Adrenal medulla, parathyroids, and the islets of langerhans","Adrenal cortex, parathyroids and ovaries","Pancreas, adrenal medulla and thyroid gland",1,MEDMCQA,48
High content of cholesterol is present in:,Coconut oil,Egg yolk,Hydrogenated fat,Ghee (unsaturated),1,MEDMCQA,49
Which of the following are not a branch of external carotid Aery in Kiesselbach's plexus.,Sphenopalatine aery,Anterior ethmoidal aery,Greater palatine aery,Septal branch of superior labial aery,1,MEDMCQA,50
Serial technique Or telescoping technique is another name of:,Step back technique.,Crown down technique.,Standarize technique.,Balance force technique.,0,MEDMCQA,51
Lateral pharyngeal space is not connected directly by:,Buccal space,Sublingual space,Submandibular space,Retropharyngeal space,0,MEDMCQA,52
A patient comes to ED with fever and headache. On examination he has neck stiffness. CSF analysis was done:- Parameter Finding Normal range Glucose (mg/dl) 55 50-80 Protein (g/L) 0.50 0.18-0.45 ICT (cmH2O) 35 5-20 WBC 25 (predominantly lymphocytes) <5 Most likely diagnosis is-,TB,N. Gonorrhea,Cryptococcus,Coxsackie,3,MEDMCQA,53
Delayed neuronal migration and organization leads to ceain disorders. Which of the following is the least likely possibility?,Lissencephaly,Schizencephaly,Polymicrogyria,Focal coical dyplasia without balloon cells,3,MEDMCQA,54
Propranolol is drug of choice for -,Ulcerated infantile hemangioma,Lymphangioma,Pyogenic granuloma,Capillary malformation,0,MEDMCQA,55
"A non-painful, slowly enlarging benign neoplasm appears as a submucosaL lu nip and exhibits pseudoepitheliomatous hyperplasia in the overlying epithelium, is most probably:",Fibroma,Rhabdomyoma,Granular cell tumour,Papilloma,2,MEDMCQA,56
Extra retention in abutment teeth is obtained with:,Dovetail,"Slots, pins and grooves",Outline form,Increasing tooth reduction,1,MEDMCQA,57
Which of the following does not complicate into CHF –,Co–relation of aorta,Transposition of great vessels,Tetralogy of fallot's,Patent ductus arteriorus,2,MEDMCQA,58
Which of the following is a tool used in gene editing?,CRISPR,Gene Xpe,Big Data,HealthCare App,0,MEDMCQA,59
Klenow fragment is formed by loss of fragment having which activity:,5'- 3' polymerase,3'- 5' exonuclease,5'- 3' exonuclease,3'- 5' polymerase,2,MEDMCQA,60
"A 22 year old college boy with history of sex with commercial workers came to Derma OPD with lesion in genital region, tissue from this lesion was examined, which is the most likely finding?",Intracytoplasmic vacuolations,Multinucleated giant cells,Belongs to Herpes family,It's a RNA virus,0,MEDMCQA,61
The most common curvature of the palatal root of maxillary first molar is:,Facial,Lingual,Distal,Mesial,0,MEDMCQA,62
8 year old child had fractured his maxillary central incisor 10 months ago. The pulp shows no response. There is no periapical lesion in the radiograph. The treatment of choice is,Ca(OH)2 Pulp capping,Formocresol pulpotomy,Conventional root canal treatment,Complete debridement and apexification,3,MEDMCQA,63
Primary herpetic gingivostomatitis usually occurs:,Prior to age 10,Between ages 13 to 30,At the onset of the menstrual period,During menopause,0,MEDMCQA,64
"A 4-year-old child has a normal complement of primary teeth, but they are grey and exhibit extensive occlusal and incisal wear. Radiographic examination indicates extensive deposits of secondary dentin in these teeth. Most likely this condition is:",Neonatal hypoplasia,Amelogenesis imperfecta,Cleidocranial dysplasia,Dentinogenesis imperfecta,3,MEDMCQA,65
"2, 3-BPG binds to sites of haemoglobin and the affinity for oxygen","4, decreases","1, decreases","4, increases","1, increases",1,MEDMCQA,66
"In examining the edentulous mouth of an aged patient wearing complete maxillary denture against six mandibular teeth, the dentist will see:",Cystic degeneration of the foramina of the anterior palatine nerve,Loss of osseous structure in the anterior maxilla,Flabby tissue in the posterior region,Decrease interocclusal distance,1,MEDMCQA,67
Which of the following is considered as high risk infant?,Working mother,Antenatal preeclampsia,Third child,Twins,0,MEDMCQA,68
Valvular lesion most often resulting from myocardial infarction is:,Aortic stenosis,Mitral stenosis,Mitral regurgitation,Pulmonary stenosis,2,MEDMCQA,69
Which of the following is not true about screw feed technology,Reduces weight by 30%,Reduces volume by 80%,Ideal for pathological waste,Non-burn heat sterilization technique,2,MEDMCQA,70
Arrange the following in the sequence of closure :,Umbilical Aery,Umbilical Vein,Ductus venosus and Foramen ovale,All,3,MEDMCQA,71
In symphyseal fracture with lag screw fixation?,Load bearing,Load sharing,Adaptation osteosynthesis,Compression osteosynthesis,1,MEDMCQA,72
Statistical `Q' test is used for:,Comparing the propoion of means of 2 groups,To determine outliars,To determine normality distribution,Comparing the propoion of means of more than 2 groups,1,MEDMCQA,73
In universal pro-taper retreatment file end cutting tip is seen in?,D-1,D-2,D-3,None of the above,0,MEDMCQA,74
Which of the following drug must be sold only on production of a prescription by a registered medical practitioner?,Schedule H,Schedule G,Schedule X,Schedule M,0,MEDMCQA,75
Estrogen and progesterone in the first 2 months pregnancy are produced by:,Fetal ovaries,Fetal adrenal,Placenta,Corpus luteum,3,MEDMCQA,76
"A 60 years old male presented with fever, chills and dysuria. Patient was hospitalized in emergency for 5 days. PSA level was 7.4. Next best step in this patient:",Repeat PSA,TURP,TRUS guided biopsy,Antibiotics and admit,3,MEDMCQA,77
Nasal antrostomy usually done from through,Middle concha,Inferior concha,Middle meatus,Inferior meatus,3,MEDMCQA,78
Pre-maturity in edge to edge position is relieved by reducing:,Mandibular incisal edge.,Maxillary lingual fossa.,Both AB,Either AB,0,MEDMCQA,79
A study was conducted to find average intra-ocular pressure. IOP was measured in 400 people and the mean was found to be 25 mm Hg with a standard detion of 10 mm Hg. What is the range in which 10P of 95% of the population would be lying?,22-28 mm Hg,20-30 mm Hg,24-26 mm Hg,23-27 mm Hg,2,MEDMCQA,80
Key indicator for AFP surveillance ?.,At least one case of non-polio AFP per year per 1000 population of under 5 years,At least one case of non-polio AFP per year per 100000 population of under 5 year,At least one case of non-polio AFP per year per 1000 population of under 15 years,At least one case of non-polio AFP per year per 100000 population of under 15 years,3,MEDMCQA,81
"Routine examination of a 17 years old asymptomatic boy reveals sho PR interval, and delta wave on ECG. The least effective measure for the boy would be:",Hotter monitoring,Treadmill stress test,Beta blocker,Reassurance,1,MEDMCQA,82
Maximum area in homunculus signifies?,Low control and skilled movements,More muscle fibers are present,Increased precisiveness of movements,None of the above,2,MEDMCQA,83
Which of the following is caused by Amphotericin B,Hypo kalemia,Hyperkalemia,Hypermagnesemia,Hyponatremia,0,MEDMCQA,84
The age of the child used in the determination of child mortality rate is:,0-5 years,1-4 years,5-8 years,0-1 years,1,MEDMCQA,85
Arch space for eruption of 2nd & 3rd molar created by:,Apposition of Hamular processes,Resorption of anterior border of ramus,Resorption of posterior border of ramus,Apposition of lower border of mandible,1,MEDMCQA,86
First nerve fiber present in vicinity of dental papilla in,Bud stage,Cap stage,Bell stage,Advanced Bell stage,0,MEDMCQA,87
Maximum chances of injury in a child patient occurs during:,8 months,10-12 months,12-15 months,16 months,2,MEDMCQA,88
Touidine blue is to:,Differentiate between malignant transformation,Differentiate lichen planus from Leukoplakia,Differentiate between pemphigus and lichen planus,Differentiate between candidiasis & leukoplakia,0,MEDMCQA,89
What is the angle subtended by the largest letter in the Snellen cha on a person's eye who is reading it from a distance of 6 meters?,1 minute,10 minutes,50 minutes,60 minutes,2,MEDMCQA,90
Birth weight of a baby can be increased by:,Cessation of smoking,Aspirin,Ca++  and vitamin D supplement,Bed rest,0,MEDMCQA,91
Which of the following is true about prostate cancer?,Histopathology is determined by Gleason score,Most common region involved is central zone,Most common type is squamous cell Carcinoma,It is not a hormone dependent cancer,0,MEDMCQA,92
What is normally seen in lumbar spine:-,Scoliosis,Lordosis,Kyphosis,Recurvatum,1,MEDMCQA,93
Which of these is the most reliable method for monitoring fluid resuscitation?,Urine output,CVP,Pulse rate,Blood pressure,0,MEDMCQA,94
Breakdown of periodontal fibres in periodontitis is due to bacterial enzyme: (OR) Which of the following bacterial products have been implicated in initiation of inflammatory periodontal disease?,Collagenase,Hyaluronidase,Coagulase,None of the above,0,MEDMCQA,95
CLED is better medium than MacConkey medium for processing of urine samples,It differentiate LF from NLF Bacteria,Prevents swarming of proteus,Identifies pseudomonas,"Allows staphylococcus,Streptococcus and candida to grow",3,MEDMCQA,96
Reflex which never disappear:,Walking and stepping reflex,Limb placement reflex,Parachute reflex,All of the above,3,MEDMCQA,97
Which hormone has permissive role in pubey?,Leptin,GnRH,Insulin,GH,1,MEDMCQA,98
Vitamin K in its coenzyme form is regenerated by which enzyme?,Glutathione reductase,Pyruvate carboxylase,Dihydrofolate reductase,Epoxide reductase,3,MEDMCQA,99
"All are seen with scar dehiscence, except:",Maternal bradycardia,Fetal bradycardia,Vaginal bleeding,Hematuria,0,MEDMCQA,100
Which combination forms day care anesthesia,"Fentanyl, propofol, Isoflurane","Pethidine, Propofol, Isoflurane","Thiopental pethidime, Halothane","Thiopentane, isoflurane fantanyt",0,MEDMCQA,101
"A 10-year old boy was presented with a mass in abdomen. On imaging, the para-aoic lymph nodes were enlarged. On biopsy, starry sky appearance was seen. What is the underlying abnormality?",p53 gene mutation,Rb gene mutation,Translocation involving BCR-ABL gene,Translocation involving Myc gene,3,MEDMCQA,102
Submental intubation is an alternative to tracheostomy in which type of fractures?,Mandibular fracture,Nasal fracture,Panfacial fracture,Styloid process fracture,2,MEDMCQA,103
All of the following are true about property of polymethyl methacrylate except:,KHN 18-20,chemical stable if heated till 260 degree F,Modulous of elasticity is 2.4 Gpa.,Tensile strength 29Mpa.,3,MEDMCQA,104
Juvenile periodontitis is a,Definite genetic disease,Immunological defect,Neutrophil chemotactic defect,Neutrophil adhesion defect,2,MEDMCQA,105
Most common site of esophageal carcinoma?,Middle 1/3rd of esophagus,Upper 2/3rd of esophagus,Lower 2/3rd of esophagus,Middle 2/3rd of esophagus,0,MEDMCQA,106
Disadvantages of using a GRID during radiography is:,Increased patient exposure due to more exposure time,Decreased exposure time,Increased secondary radiation fog to film,Reduces secondary radiation to film,0,MEDMCQA,107
Which of the following doesn't have any effect on pancreatic secretion?,Cck,Gastrin,Secretin,Gastric inhibitory polypeptide,3,MEDMCQA,108
"The knowledge about the biomechanics of the muscles attached around the shoulder joint, known as 'rotator cuff muscles' has increased exponentially. However, the role of one of the rotator cuff muscles, which is also now known as 'forgotten rotator cuff muscle' has been ignored or less impoance has been attached to its role. Which of the following muscles best describes this description?",Supraspinatus,Infraspinatus,Teres minor,Subscapularis,3,MEDMCQA,109
"A known HIV patient on anti - retroviral therapy presented with diarrhea of six months duration. Stoll microscopy was done in which 10-30 micrometer cysts were seen, Kinyoun stain was positive. What is the most likely diagnosis?",Cystoisospora,Cryptosporidium,Balantidium coli,Strongyloides,0,MEDMCQA,110
Which of the following is not true of boiling water,It can kill hepatitis B virus,Used for sterilizing surgical instruments,Can kill mycobacterium tuberculosis,Can kill vegetative bacterial cells,1,MEDMCQA,111
Spiral angle can be defined as:,Angle between long axis and blade.,Angle between long axis and cutting edge.,Angle formed by the blades.,All are same.,0,MEDMCQA,112
"You have been called to declare a brain dead l2-year-ord chitd in pICU, all ofthe given are signs of brain death except?",Normal BP without pharmacological suppo,Positive spinal reflexes on stimulation,Sweating and tachycardia,Decoicate and decerebrate posturing,3,MEDMCQA,113
In facial porcelain inlay what should be kept in mind?,Facial surface should be perpendicular to cavity margins,Facial surface should converge to cavity margins,Facial surface should be parallel to cavity margins,Axial wall is 2.5 mm deeper than normal,0,MEDMCQA,114
A 55 year old male presents with a lesion of 2.5*3.5 cm on lateral border of tongue with induration. There is no associated lymphadenopathy. What is the staging according to the 8th AJCC guidelines?,T2N0M0,T3N2M0,T4N3M0,T3N2M0,0,MEDMCQA,115
Oral prophylaxis is contraindicated in:,Prepubertal gingivitis,Pregnancy gingivitis,Ulcerative refractory gingivitis,Leukemic gingivitis,3,MEDMCQA,116
Single accessory canal arising from coronal third of the mandibular molars arises majorly in,Distal root,Mesial root,Both equally,Does not arise at all,0,MEDMCQA,117
"In esophageal varices bleeding, which of the following is not used?",Endoscopy banding,Octreotide,Platelet transfusion,TIPS,2,MEDMCQA,118
"Child Pugh score put patients into three categories of Score A (<7), Score B (7-9) and Score C (10-15). The following is a type of which scale?",Nominal,Ordinal,Quantitative,Continuous,1,MEDMCQA,119
Smallest mesiodistal diameter is seen in,Deciduous lower central incisor,Permanent lower central incisor,Deciduous upper lateral incisor,Permanent upper lateral incisor,0,MEDMCQA,120
Lateral movement of condyle is caused by:,Contralateral lateral pterygoid muscle,Both lateral and medial pterygoid muscle,Epsilateral lateal pterygoid muscle,Bilateral contraction of lateral pterygoid muscle,1,MEDMCQA,121
"Hypertonic salt solutions are used in all, except",Burn,Brain injury patient,Prolonged bowel surgery,Cardiac type IV shock,3,MEDMCQA,122
"Cephalosporins have all of the following interactions & uses, except:",Show cross sensitivity with penicillins,Are penicillinase resistant,Have a broad spectrum but are inactive against anaerobes,Are used in upper respiratory tract infections,1,MEDMCQA,123
"After amalgam polishing, the outermost surface has crystals arranged flattened to tooth surface. This layer is known as",Beilby layer,Beillyl layer,Beibyl Layer,none of the above,0,MEDMCQA,124
Epidural venous plexus is located in,Basal ganglia adjacent to pons,At the junction of middle and posterior cranial fossa,In vertebral canal below duramater,In vertebral canal above duramater,3,MEDMCQA,125
Which of the following arteries does not supply the circle of Willis?,Anterior cerebral,Middle cerebral,Posterior-inferior cerebral,Posterior communicating,2,MEDMCQA,126
A child is brought to the clinic with complaint of irregular teeth. The maxillary central incisor is rotated in an otherwise normal occlusion. What should the next step be?,Check for supernumerary teeth,Resection of supracrestal fibers,Exert a couple on tooth,Fixed orthodontic appliances given,0,MEDMCQA,127
Embrasure characterized by a slight to moderate recession of interdental papilla are:,Type I,Type II,Type III,Type IV,1,MEDMCQA,128
The bacteria of oral flora which plays least role in periodontitis is:,Actinomyces,Actinomycetam comitans,Spirocheates,Bacteriodes,0,MEDMCQA,129
Posselt's diagram indicates?,Motion of mandible,Protrusive relation of central incisor,Antero-superior relation of condyle in articular fossa in CR,None of the above,0,MEDMCQA,130
Cyst of parasite seen in stool microscopy. What is the organism?,Entamoeba dyspar,Balantidium coli,Giardia lambia,Taenia solium,2,MEDMCQA,131
Myosin head detachment from actin is triggered by:-,Change in troponin c configuration,Entry of Ca into sarcoplasmic reticulum,Binding of ATP to head,Hydrolysis of ATP to ADP and Pi,2,MEDMCQA,132
"If multiple myeloma is suspected in a patient's history and intraoral radiograph, which of the following radiographs should be taken to confirm the diagnosis?",Lateral skull,Anterior posterior view,Lateral oblique,Posterior anterior view,0,MEDMCQA,133
During pregnancy baby can be affected in utero in all except:,Candida,Syphilis,Toxoplasmosis,Polio,3,MEDMCQA,134
"When horse serum is injected intravenously in to a rabbit and again in to the skin two or three weeks later, what is the necrotising reaction that occurs at the site of the second injection?",Atopy,Anaphylaxis,Arthus phenomenon,Serum sickness,2,MEDMCQA,135
Maternal moality ratio expressed in:-,"Maternal death per 10,000 lives","Maternal death per 100,000 lives","Maternal death per 1,000,000 lives",Maternal death per 100 lives,1,MEDMCQA,136
False statement about Thyroglossal Duct cyst is-,Infected thyroglossal cyst from sinus,Lined by pseudostratified columnar epithelium,40% cases have sub hyoid location,It is due to congenital,0,MEDMCQA,137
What is under-5 moality' rate in world by 2010?,6 million,8 million,10 million,12 million,1,MEDMCQA,138
A diabetic and hypeensive patient taking several drugs presented with septicemia. Serum creatinine levels are 5.7 mg/dL. Which of the following drug should be stopped?,Insulin,Metoprolol,Linagliptin,Metformin,3,MEDMCQA,139
MHC Class II proteins are expressed by:,"B-cells, dendritic cells and macrophages",Platelets,T-cells,All nucleated cells,0,MEDMCQA,140
Mandibular process of each side fuse to form:,Lower lip.,Lower jaw.,Both.,None.,2,MEDMCQA,141
The treatment of choice for primary grade V vesicoureteric reflux involving both kidneys in a 6 month old boy is –,Antibiotic prophylaxis,Ureteric reimplantation,Cystoscopy followed by subureteric injection of teflon,Bilateral ureterostomies.,0,MEDMCQA,142
"According to 2011 census, life expectancy at birth for male and female is",67 and 70,70 and 67,61 and 69,69 and 61,0,MEDMCQA,143
Acetyl Co-A acts as a substrate for all the enzymes except:,HMG-CoA synthase,Malic enzyme,Malonyl CoA synthetase,Fatty acid synthetase,1,MEDMCQA,144
Improving Quality of Labour room is covered under which program?,LaQshya,Improving care of newborn,Ayushman Bharat Scheme,JSSK,0,MEDMCQA,145
The type of strain develop when force is applied perpendicular to surface,Compressive strain,Tensile strain,Shear stress,Tensile stress,0,MEDMCQA,146
Which of the following analysis helps in determining the disproportion in the size between maxillary and mandibular teeth?,Pont's analysis,Bolton's analysis,Peck and Peck analysis,Carey's analysis,1,MEDMCQA,147
"In the formula for urea clearance, C = U x V/P, U denotes:",Urinary concentration in gm/24 hours,Urine osmolarity,Urinary concentration in mg/ml,Urine volume per minute,2,MEDMCQA,148
"On the day following a formocresol pulpotomy of a
mandibular molar, a three year old patient returned with
a large ulcer near the midline of the lower lip. What is
the probable cause of the ulcer?",Lip biting by the patient,Allergy to the anaesthetic solution,Pressure by the rubber dam frame,Leakage of formocresol on the lip,0,MEDMCQA,149
Which of the following pulp horn of primary molar is commonly exposed during restorative procedures:,Mesiobuccal puplhorn of 1st molars.,Distobuccal pulp horn of 1st molars.,Mesiobuccal pulp horn of 2nd molars.,Distobuccal pulp horn of 2nd molars.,0,MEDMCQA,150
Keeping in Jack-knife position for long leads to death by:,Wedging,Burking,Positional asphyxia,Traumatic asphyxia,2,MEDMCQA,151
A surgeon decides to operate a patient under epidural anesthesia. 3% Xylocaine with adrenaline is used for administering epidural anesthesia. The patient suddenly develops hypotension after 3 minutes of administration. What is the most likely cause for this?,Systemic absorption of the drug,Vasovagal effect,Allergy to the drug preparation,Penetration into the subarachnoid space,3,MEDMCQA,152
The tooth most commonly having bifurcated roots is the:,Maxillary central incisor,Mandibular lateral incisor,Mand. central incisor,Mandibular premolar,3,MEDMCQA,153
Tracheostomy will:,Increase dead air space,Increase respiratory resistance,Decrease respiratory work,Cause obstruction in respiration,2,MEDMCQA,154
Detachment of myosin head from actin is caused by?,Entry of calcium into sarcoplasmic reticulum,Change in troponin C configuration,Binding of ATP,Release of ADP and Pi,2,MEDMCQA,155
Sterilization of hand piece will cause:,Rust of hand piece,Turbine wear,Fibre loss,Loss of torque,2,MEDMCQA,156
"A 50 years old male presented with frontal bossing, enlarged nasal bone, enlarged jaw and spade like fingers. Which of the following test will you do for diagnosis?",IGF1,ACTH,TSH,Serum coisol,0,MEDMCQA,157
After removal of periodontal dressing what should be done to keep sensitivity to the minimum?,Use of mouthwash,Use of desensitizing paste,"Keep roots, plaque free",None of the above,2,MEDMCQA,158
Most used selective medium for streptococcus rnutans is,Mac conkey medium,Mitus salivarius bacitracin agar,Nutrient agar,Tellurite medium,1,MEDMCQA,159
"In Prothrombin time (PT) estimation, on addition of calcium and thromboplastin to platelet poor plasma. which of the following pathway is activated?",Extrinsic,Intrinsic,Fibrinolysis,Common,0,MEDMCQA,160
Which of the following finger has two dorsal interossei (AIIMS May 2019),Little,Ring,Middle,Index,2,MEDMCQA,161
"All are true about nitric oxide, EXCEPT:",Regulates vasomotor tone,Acts via cAMP,Present in cigarette smoke,It is important in penile erection,1,MEDMCQA,162
According to WHO guidelines for excess sugar control by all except,Fiscal policies,Chair side council,Marketing,Food Labelling,1,MEDMCQA,163
Direct pulp capping is not done in which of these situations?,Mechanical exposure,No bleeding,Pinpoint exposure,Carious exposure with more than 1 mm in size,3,MEDMCQA,164
"According to the instrument formula given by G.V. Black, the primary cutting edge angle should be:",>50 degree,>90 degree,<50 degree,<90 degree,0,MEDMCQA,165
Hammock ligament is present:,Between temporal and sphenoid bone,Between hamular notch and mandible,In apical area of a tooth,As a part of deep cervical fascia,2,MEDMCQA,166
